feature,gain,pct_of_total_gain,cum_pct
v257,41998.03092241287,6.054261740045719,6.054261740045719
v258,41303.01207137108,5.954070708560305,12.008332448606025
c1,35300.75174379349,5.088809784252201,17.097142232858225
device_info,33526.02683877945,4.832972811528827,21.93011504438705
c13,26667.91655230522,3.8443361110815992,25.77445115546865
c14,26650.06550884247,3.841762778782851,29.6162139342515
v294,21391.63559770584,3.083729358537028,32.69994329278853
r_emaildomain,15935.90209889412,2.2972534723993663,34.9971967651879
d2,15704.817623376846,2.263941293992066,37.26113805917997
p_emaildomain,15331.267949104309,2.2100919241220165,39.47122998330199
transaction_amt,14710.637073040009,2.1206243542116874,41.591854337513674
id_31,14141.833531856537,2.0386279976836517,43.63048233519733
d15,11535.710257053375,1.6629400883711418,45.29342242356847
v189,8881.83740568161,1.2803687983816487,46.573791221950124
prior_amt_mean,8766.4906976223,1.2637408959275118,47.837532117877636
d10,8399.541095733643,1.2108429650853803,49.04837508296302
card6,8027.5098288059235,1.157212482512941,50.20558756547596
d1,7867.018097877502,1.1340766610276745,51.339664226503636
d4,7865.105806112289,1.133800992987634,52.47346521949127
c11,7816.703660964966,1.1268235407341476,53.60028876022542
c8,7428.953297138214,1.070927058426633,54.67121581865205
id_30,7062.975258111954,1.0181691840523084,55.68938500270436
c4,7041.523210525513,1.0150767459523375,56.7044617486567
id_33,6963.196418762207,1.0037854809054316,57.70824722956213
v308,6344.770381450653,0.9146357513940578,58.62288298095619
c2,5610.777113437653,0.8088263298001817,59.431709310756375
c12,5578.909554481506,0.8042324348317895,60.235941745588164
c5,5490.460029840469,0.7914819186480966,61.02742366423626
c6,5478.621312379837,0.7897752982995014,61.81719896253576
seconds_since_prev_txn,5296.177125453949,0.763474901915687,62.58067386445145
d8,5256.526888370514,0.7577590883862038,63.33843295283765
d3,4926.151182174683,0.710133498473259,64.0485664513109
v313,4895.35827589035,0.7056945209715173,64.75426097228242
v266,4823.32531619072,0.6953105486196375,65.44957152090205
id_20,4806.365118980408,0.6928656370173837,66.14243715791943
v62,4661.68619966507,0.6720093247912178,66.81444648271065
m5,4583.255183696747,0.6607030352157099,67.47514951792635
v317,4501.958833694458,0.648983690984227,68.12413320891058
txn_hour,4320.160262346268,0.6227763638611609,68.74690957277174
c10,4285.591613531113,0.617793090995028,69.36470266376676
v70,4132.233035326004,0.5956855551857835,69.96038821895255
c9,3983.507207632065,0.5742458574526328,70.53463407640518
id_02,3966.84756231308,0.5718442721629845,71.10647834856817
amt_to_prior_mean_ratio,3607.702346086502,0.5200713891500184,71.6265497377182
prior_amt_sum,3601.3173644542694,0.5191509567116896,72.14570069442988
id_17,3515.04127573967,0.5067137540259123,72.65241444845579
v283,3487.5531396865845,0.5027511784775774,73.15516562693337
v315,3409.9262325763702,0.49156080589597523,73.64672643282934
v310,3375.483511209488,0.4865956862078688,74.1333221190372
d11,3249.182329893112,0.46838863237767997,74.60171075141488
id_01,3223.856112718582,0.4647377100774628,75.06644846149234
v45,2999.792648792267,0.43243765154621233,75.49888611303855
product_cd,2805.36625623703,0.4044099501552383,75.90329606319379
v83,2785.0668048858643,0.4014836655423638,76.30477972873615
v87,2639.274790287018,0.3804668941222795,76.68524662285843
v91,2621.7661311626434,0.3779429185279944,77.06318954138642
m6,2573.622342824936,0.37100270991935,77.43419225130577
v82,2566.164983034134,0.3699276878987554,77.80411993920453
v312,2543.779154062271,0.36670063975180933,78.17082057895634
id_19,2488.674717903137,0.3587570130574684,78.52957759201381
log_amount,2487.2729620933533,0.3585549417607512,78.88813253377457
v307,2423.4319281578064,0.3493518834098733,79.23748441718443
v30,2406.0858685970306,0.3468513474934783,79.58433576467792
v53,2368.160057783127,0.3413841200942934,79.9257198847722
v12,2355.3520288467407,0.3395377678284404,80.26525765260065
v201,2334.1830484867096,0.3364861355243859,80.60174378812503
v54,2252.0299804210663,0.32464329037443,80.92638707849946
txn_dow,2235.610992670059,0.3222763972804456,81.2486634757799
v149,2159.1685910224915,0.31125677808765395,81.55992025386756
v320,2152.9363300800323,0.31035836122978705,81.87027861509735
m4,2138.149138689041,0.308226701122993,82.17850531622034
v67,2025.8786673545837,0.2920422561809715,82.47054757240132
id_06,1939.8458988666534,0.2796401295286784,82.75018770192999
id_05,1933.3398339748383,0.27870224223044915,83.02888994416044
v296,1916.2260546684265,0.27623519087097453,83.30512513503142
v75,1854.48659658432,0.26733508696800123,83.57246022199942
id_13,1847.380765914917,0.26631073992581517,83.83877096192523
v61,1846.381591796875,0.26616670313405033,84.10493766505928
v13,1843.3246810436249,0.26572603157374963,84.37066369663303
v76,1774.6448338031769,0.25582542999011376,84.62648912662314
d5,1716.1025955677032,0.24738622402399493,84.87387535064714
v209,1664.1795625686646,0.23990121519836807,85.11377656584551
d12,1577.9579734802246,0.2274718689523871,85.3412484347979
v35,1575.8936972618103,0.227174291464692,85.5684227262626
card4,1553.2442140579224,0.22390923601848708,85.79233196228108
m3,1545.6984910964966,0.22282147593014529,86.01515343821123
v152,1540.1401689052582,0.22202021128410915,86.23717364949533
d6,1536.097179889679,0.22143739077622235,86.45861104027155
v314,1498.2369678020477,0.2159796198170168,86.67459066008857
v285,1495.3093831539154,0.21555759137100042,86.89014825145956
v322,1476.921465396881,0.21290686550337148,87.10305511696293
v38,1450.8757619857788,0.20915222505497222,87.31220734201791
v90,1411.802345275879,0.20351956355527875,87.51572690557319
v20,1393.9067602157593,0.20093981032481492,87.716666715898
v187,1390.7297768592834,0.20048182959663727,87.91714854549464
v130,1324.691994190216,0.1909620970703815,88.10811064256502
v77,1251.3686211109161,0.18039210408415796,88.28850274664919
v281,1248.2929329872131,0.1799487256561062,88.46845147230529
v309,1240.6762726306915,0.17885073952745648,88.64730221183275
v78,1240.6680569648743,0.17884955519118798,88.82615176702394
id_14,1235.3643825054169,0.17808499950473522,89.00423676652868
prior_txn_count,1229.061586856842,0.17717641465653156,89.1814131811852
d14,1202.7448711395264,0.173382706199453,89.35479588738465
v36,1202.0008389949799,0.17327544961510472,89.52807133699976
id_09,1113.0877785682678,0.16045811203739122,89.68852944903715
v39,1075.0740587711334,0.15497821204422774,89.84350766108138
v156,1044.2402951717377,0.1505333447216073,89.99404100580298
txn_count_7d,1043.922730922699,0.15048756597815827,90.14452857178114
m9,1041.6184170246124,0.15015538565532327,90.29468395743646
